Date,Day,Lunch,Main Course,Main Course detail,Dessert,,Guest/other,
Jan1,Tuesday,,,,,,,
Jan2,Wednesday,,,,,,,
Jan3,Thursday,,,,,,,
Jan4,Friday,,singaporean rice,"rice 1 cup, chicken 1/2 pc, chinese noodles 2 balls, 1 red shimla mirch, 1 gajar, 1 bunch spring onion",,,,
Jan5,Saturday,,,,,,,
Jan6,Sunday,,,,,,,
Jan7,Monday,,karhi pakora + rice ,"gravy: 3/4 cup besan, 1 cup dahi. pakora: 1/4 cup) ref. Ruby, Faiza",,,,
Jan8,Tuesday,,pizza,,german cheesecake,,,
Jan9,Wednesday,,leftover karhi,,,,,
Jan10,Thursday,,,,,,,
Jan11,Friday,,qeema,,,,,
Jan12,Saturday,,,,,,,
Jan13,Sunday,,,,,,,
Jan14,Monday,,biryani,3 stuck + 3.25 cups sela,sticky toffee,,,
Jan15,Tuesday,,,,,,,
Jan16,Wednesday,,,,,,"make cheesecake, cut veggies, marinate chicken",
Jan17,Thursday,,manchurian rice + salad roll,"1 brustfilet, 2.5 cups rice, 1 gajar, 1 shimla mirch, 1 egg), 8 salad rolls (with dip)","cheesecake, jelly ",,Yousra lunch,
Jan18,Friday,,burger,,,,,
Jan19,Saturday,,salad,,,,,
Jan20,Sunday,,daal chawal,,flan,,Rimsha's birthday,
Jan21,Monday,,,,,,,
Jan22,Tuesday,,pita wraps - chicken tikka boti (ready made),,flan,,,
Jan23,Wednesday,,pizza,,,,,
Jan24,Thursday,pizza,meat salan,,"carrot cake (1.5 cream small, rosettes on top)",,,
Jan25,Friday,,,,,,,
Jan26,Saturday,,fish ,,,,,
Jan27,Sunday,,yousra dinner,,,,,
Jan28,Monday,,,,brownie,,,
Jan29,Tuesday,,,,,,,
Jan30,Wednesday,,,,,"marinate chicken, cut veggies, make biryani chicken, cake",,
Jan31,Thursday,,"Kung pao, rice, 8 salad rolls","brustfilet (2/3 stuck), rice (2.25) 8 salad rolls",red velvet cake (sally's),,Bela,
Feb1,Friday,,biryani + dahi,"chicken 2 stuck, 2 cup rice",,,Bela,
Feb2,Saturday,,,,,,Bela,
Feb3,Sunday,,,,,,,
Feb4,Monday,,salad,,,,,
Feb5,Tuesday,,daal chawal,,,,,
Feb6,Wednesday,,,,,,,
Feb7,Thursday,,,,,,,
Feb8,Friday,,mutton karhai,"1/2 kg meat, 4 tomatoes",,,,
Feb9,Saturday,,,,,,,
Feb10,Sunday,,pancakes,,,,,
Feb11,Monday,kabab sandwich,chicken qorma + chana pulao + chopped salad,,,,,
Feb12,Tuesday,dinner leftover,,,gulab jamun,,,
Feb13,Wednesday,,,,gulab jamun,,,
Feb14,Thursday,,,,,,,
Feb15,Friday,,,,,,,
Feb16,Saturday,,,,gulab jamun,,,
Feb17,Sunday,,,,,,Nida's bridal shower,
Feb18,Monday,,"bhindi (350g bhindi, 2 onions, 1 tomato, pinch salt, pinch red chilli, 1 packet shan achar, 1.5 lime)",,,,,
Feb19,Tuesday,,qeema,,,,,
Feb20,Wednesday,,,,,,,
Feb21,Thursday,,chicken tikka + salad rolls ,,,,,
Feb22,Friday,,,,,,,
Feb23,Saturday,,,,,,,
Feb24,Sunday,,fish salad roll corn,,,,,
Feb25,Monday,,,,,,Nuremberg,
Feb26,Tuesday,,,,,,Nuremberg,
Feb27,Wednesday,,,,,,Nuremberg,
